ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score
0,2015,10,28,1,Bisu,Bale,1,0
0,2015,10,28,2,Kwanro,Leta,1,0
0,2015,10,28,3,Bisu,Kwanro,1,0
0,2015,10,28,4,Bale,Leta,1,0
0,2015,10,28,5,Kwanro,Bale,0,1
0,2015,10,29,1,Queen,Britney,1,0
0,2015,10,29,2,Piano,Rush,1,0
0,2015,10,29,3,Queen,Piano,1,0
0,2015,10,29,4,Britney,Rush,0,1
0,2015,10,29,5,Piano,Rush,0,1
0,2015,11,2,1,Ssak,Larva,0,1
0,2015,11,2,2,Movie,Shuttle,1,0
0,2015,11,2,3,Larva,Movie,1,0
0,2015,11,2,4,Ssak,Shuttle,1,0
0,2015,11,2,5,Movie,Ssak,0,1
0,2015,11,5,1,Zelot,Hiya,0,1
0,2015,11,5,2,Pure,Effort,0,1
0,2015,11,5,3,Hiya,Effort,1,0
0,2015,11,5,4,Zelot,Pure,1,0
0,2015,11,5,5,Effort,Zelot,1,0
0,2015,11,11,1,Olympus,Sharp,0,1
0,2015,11,11,2,Mind,Major,0,1
0,2015,11,11,3,Sharp,Major,1,0
0,2015,11,11,4,Olympus,Mind,0,1
0,2015,11,11,5,Major,Mind,0,1
0,2015,11,12,1,July,Jeco,1,0
0,2015,11,12,2,Jaehoon,Shinee,1,0
0,2015,11,12,3,July,Jaehoon,0,1
0,2015,11,12,4,Jeco,Shinee,0,1
0,2015,11,12,5,July,Shinee,1,0
0,2015,11,16,1,hero,EverPNabi,1,0
0,2015,11,16,2,Sea,guemchi,0,1
0,2015,11,16,3,hero,guemchi,0,1
0,2015,11,16,4,EverPNabi,Sea,0,1
0,2015,11,16,5,hero,Sea,0,1
0,2015,11,19,1,free,Last,0,1
0,2015,11,19,2,Mong,Spire,1,0
0,2015,11,19,3,Last,Mong,1,0
0,2015,11,19,4,free,Spire,1,0
0,2015,11,19,5,Mong,free,0,1
0,2015,12,28,1,Bisu,Jaehoon,1,0
0,2015,12,28,2,Larva,Mind,1,0
0,2015,12,28,3,Bisu,Larva,1,0
0,2015,12,28,4,Jaehoon,Mind,0,1
0,2015,12,28,5,Bisu,Mind,0,1
0,2015,12,28,6,Jaehoon,Larva,0,1
0,2015,12,28,7,Bisu,Larva,1,0
0,2015,12,28,8,Bisu,Mind,1,0
0,2015,12,28,9,Larva,Mind,0,1
0,2015,12,28,10,Bale,Sharp,0,1
0,2015,12,28,11,Hiya,Last,0,1
0,2015,12,28,12,Bale,Hiya,1,0
0,2015,12,28,13,Sharp,Last,1,0
0,2015,12,28,14,Bale,Last,0,1
0,2015,12,28,15,Sharp,Hiya,1,0
0,2015,12,28,16,Effort,July,1,0
0,2015,12,28,17,Rush,Queen,0,1
0,2015,12,28,18,Effort,Rush,1,0
0,2015,12,28,19,July,Queen,0,1
0,2015,12,28,20,Effort,Queen,0,1
0,2015,12,28,21,July,Rush,1,0
0,2015,12,28,22,free,Sea,0,1
0,2015,12,28,23,guemchi,Ssak,1,0
0,2015,12,28,24,free,guemchi,0,1
0,2015,12,28,25,Sea,Ssak,0,1
0,2015,12,28,26,free,Ssak,1,0
0,2015,12,28,27,Sea,guemchi,0,1
0,2015,12,28,28,Ssak,free,0,1
0,2015,12,28,29,Ssak,Sea,0,1
0,2015,12,28,30,free,Sea,1,0
0,2015,12,31,1,Bisu,Last,3,0
0,2016,1,4,1,Sharp,Mind,3,1
0,2016,1,7,1,Queen,free,3,1
0,2016,1,11,1,guemchi,Effort,1,3
0,2016,1,14,1,Bisu,Sharp,3,1
0,2016,1,18,1,Queen,Effort,1,3
0,2016,1,21,1,Sharp,Queen,3,0
0,2016,1,23,1,Bisu,Effort,1,3
