ASL,Year,Month,Day,Number,Player_A_ID,Player_B_ID,A_Score,B_Score,A_Faction,B_Faction
11,2021,3,28,1,Effort,Ss1nz,1,0,z,p
11,2021,3,28,2,hero,Barracks,1,0,z,t
11,2021,3,28,3,Effort,hero,0,1,z,z
11,2021,3,28,4,Ss1nz,Barracks,1,0,p,t
11,2021,3,28,5,Effort,Ss1nz,1,0,z,p
11,2021,3,30,1,Light,huro,1,0,t,p
11,2021,3,30,2,Shine,Royal,0,1,z,t
11,2021,3,30,3,Light,Royal,0,1,t,t
11,2021,3,30,4,huro,Shine,0,1,p,z
11,2021,3,30,5,Light,Shine,1,0,t,z
11,2021,4,4,1,Best,Speed,1,0,p,t
11,2021,4,4,2,Action,Jyj,0,1,z,t
11,2021,4,4,3,Best,Jyj,0,1,p,t
11,2021,4,4,4,Speed,Action,0,1,t,z
11,2021,4,4,5,Best,Action,1,0,p,z
11,2021,4,6,1,Snow,Scan,1,0,p,t
11,2021,4,6,2,Shuttle,Ssak,1,0,p,t
11,2021,4,6,3,Snow,Shuttle,1,0,p,p
11,2021,4,6,4,Scan,Ssak,0,1,t,t
11,2021,4,6,5,Shuttle,Ssak,1,0,p,t
11,2021,4,11,1,Sharp,ggaemo,1,0,t,z
11,2021,4,11,2,Bisu,Piano,1,0,p,t
11,2021,4,11,3,Sharp,Bisu,1,0,t,p
11,2021,4,11,4,ggaemo,Piano,0,1,z,t
11,2021,4,11,5,Bisu,Piano,1,0,p,t
11,2021,4,13,1,Mini,hani,1,0,p,t
11,2021,4,13,2,Mong,Miso,1,0,t,z
11,2021,4,13,3,Mini,Mong,0,1,p,t
11,2021,4,13,4,hani,Miso,0,1,t,z
11,2021,4,13,5,Mini,Miso,1,0,p,z
11,2021,4,25,1,Queen,Mong,1,0,z,t
11,2021,4,25,2,Shuttle,Mini,0,1,p,p
11,2021,4,25,3,Queen,Mini,1,2,z,p
11,2021,4,25,4,Mong,Shuttle,1,2,t,p
11,2021,4,25,5,Queen,Shuttle,2,1,z,p
11,2021,4,27,1,Soma,Jyj,0,1,z,t
11,2021,4,27,2,Sharp,Best,1,0,t,p
11,2021,4,27,3,Jyj,Sharp,2,1,t,t
11,2021,4,27,4,Soma,Best,0,2,z,p
11,2021,4,27,5,Sharp,Best,1,2,t,p
11,2021,5,2,1,Larva,Bisu,1,0,z,p
11,2021,5,2,2,Effort,Snow,0,1,z,p
11,2021,5,2,3,Larva,Snow,2,1,z,p
11,2021,5,2,4,Bisu,Effort,2,0,p,z
11,2021,5,2,5,Snow,Bisu,2,0,p,p
11,2021,5,4,1,Rush,Royal,1,0,t,t
11,2021,5,4,2,hero,Light,1,0,z,t
11,2021,5,4,3,Rush,hero,0,2,t,z
11,2021,5,4,4,Royal,Light,0,2,t,t
11,2021,5,4,5,Rush,Light,2,1,t,t
11,2021,5,9,1,Mini,Best,3,0,p,p
11,2021,5,11,1,Jyj,Queen,0,3,t,z
11,2021,5,16,1,hero,Snow,3,1,z,p
11,2021,5,18,1,Larva,Rush,3,2,z,t
11,2021,5,23,1,Mini,Queen,4,1,p,z
11,2021,5,25,1,hero,Larva,0,4,z,z
11,2021,6,1,1,Queen,hero,2,3,z,z
11,2021,6,6,1,Mini,Larva,3,4,p,z
